fort_id,name,alternate_names,district,taluka,latitude,longitude,base_village,type,elevation_m,current_condition,era,built_by,year_of_construction,key_events,trek_difficulty,trek_time_hours,best_season,water_availability,accommodation,asi_protected,notes,raw_construction,clean_construction,construction_year_bce,construction_year_ce,construction_century_ce,construction_century_bce,construction_text
74,Dategad,Sundargad,Satara,Patan,17.4475,73.8436,Tolewadi,Giri Durg (Hill Fort),1067,In Ruins,Maratha Empire,Shivaji Maharaj,17th Century,Watchtower fort guarding the Patan-Karad region,Easy,1,Winter,Seasonal,Temple,FALSE,A small fort with a temple and a few water cisterns.,17th Century,17th century,,,17th Century,unknown,unknown
75,Dativre Fort,[NO_ALT_NAME],Palghar,Palghar,19.6105,72.7844,Dativre,Jal Durg (Sea Fort),5,In Ruins,Portuguese,Portuguese,16th Century,Guarded the mouth of Dativre creek,Easy,0.2,Winter,Unknown,Unknown,FALSE,Almost completely ruined; located amidst a fishing village.,16th Century,16th century,,,16th Century,unknown,unknown
76,Daulatabad Fort,Devgiri,Chhatrapati Sambhaji Nagar,Aurangabad,19.9431,75.214,Daulatabad,Giri Durg (Hill Fort),800,Partially Ruined,Yadava Dynasty,Bhillama V,1187,Capital shifted from Delhi by Muhammad bin Tughlaq in 1327,Medium,2.5,Winter,Bottled water sold,Hotels in Aurangabad,TRUE,"Features Chand Minar, intricate defenses, and the Andheri (dark passage).",1187,1187,,1187,12th Century,unknown,unknown
77,Daulatmangal,Bhuleshwar Fort,Pune,Daund,18.4231,74.3417,Malthan,Giri Durg (Hill Fort),700,In Ruins,Mughal Empire,Aurangzeb,1660s,Built to keep a watch on the movement of Marathas,Easy,1,Winter,Seasonal,Temple nearby,FALSE,Built on a hill that also hosts the famous Bhuleshwar Temple.,1660s,1660s,,1660,17th Century,unknown,unknown
78,Dermal Fort,[NO_ALT_NAME],Kolhapur,Ajra,16.035,74.155,Dhamane,Giri Durg (Hill Fort),850,In Ruins,Maratha Empire,Unknown,17th Century,Small watchtower fort,Easy,1,Post-Monsoon,Unknown,Unknown,FALSE,This is a duplicate entry for Dermal Fort .,17th Century,17th century,,,17th Century,unknown,unknown
79,Devgad Fort,[NO_ALT_NAME],Sindhudurg,Devgad,16.3797,73.3644,Devgad,Jal Durg (Sea Fort),30,Partially Ruined,Adil Shahi; Angre Clan,Kanhoji Angre,1705,Protected the Devgad harbour; has a lighthouse,Easy,0.5,Winter,Unknown,Unknown,FALSE,The fort walls enclose the Devgad town and harbour.,1705,1705,,1705,18th Century,unknown,unknown
80,Dhak Bahiri,[NO_ALT_NAME],Raigad,Karjat,18.8286,73.43,Sandshi,Giri Durg (Hill Fort),700,Caves,Unknown,Unknown,Ancient cave pilgrimage site,"A cave shrine of Lord Bhairavnath, known for extreme trek",Hard,3.5,Winter,Unknown,Caves,FALSE,This is a duplicate entry for Dhak Bahiri .,Ancient cave pilgrimage site,ancient cave pilgrimage site,,,unknown,unknown,ancient pilgrimage
81,Dharavi Fort,Riwa Fort,Mumbai City,Sion,19.0436,72.8683,Dharavi,Bhuikot (Land Fort),15,Partially Ruined,British,British East India Company,1737,Built to mark the northern boundary of British-held Bombay,Easy,0.1,All Seasons,Unknown,Unknown,FALSE,This is a duplicate entry for Riwa Fort .,1737,1737,,1737,18th Century,unknown,unknown
82,Dharmapuri Fort,[NO_ALT_NAME],Beed,Ambejogai,18.73,76.3762,Dharmapuri,Bhuikot (Land Fort),700,In Ruins,Unknown,Unknown,Unknown,Ancient land fort with a temple,Easy,0.5,Winter,Unknown,Unknown,FALSE,The fort is mostly in ruins but the Kedareshwar temple is intact.,Unknown,unknown,,,unknown,unknown,unknown
83,Dhodap Fort,[NO_ALT_NAME],Nashik,Chandwad,20.3958,74.0483,Hatti,Giri Durg (Hill Fort),1472,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,13th Century,Second highest fort in Maharashtra; Treaty of Purandar,Medium,2.5,Winter,Seasonal,Caves,FALSE,"Famous for its unique shape, Ikhara cliff, and rock-cut architecture.",13th Century,13th century,,,13th Century,unknown,unknown
84,Dhotri Fort,[NO_ALT_NAME],Ahilyanagar,Parner,19.0132,74.4511,Dhotre,Giri Durg (Hill Fort),850,In Ruins,Maratha Empire,Unknown,Unknown,A small watchtower fort,Easy,1,Winter,Unknown,Unknown,FALSE,Minimal ruins remain.,Unknown,unknown,,,unknown,unknown,unknown
85,Dronagiri Fort,[NO_ALT_NAME],Raigad,Uran,18.8419,72.9378,Karanja,Jal Durg (Sea Fort),200,In Ruins,Yadava Dynasty; Maratha Empire,Yadavas,13th Century,Overlooks Karanja and Mumbai harbours,Easy,1,Winter,Unknown,Unknown,FALSE,Much of the fort area is now part of a naval base and ONGC plant.,13th Century,13th century,,,13th Century,unknown,unknown
86,Dubergad,[NO_ALT_NAME],Nashik,Dindori,20.3215,73.8543,Duber,Giri Durg (Hill Fort),950,In Ruins,Maratha Empire,Unknown,Unknown,A small hill fort with minimal remains,Easy,1,Winter,Unknown,Unknown,FALSE,A lesser-known trek in the Dindori region.,Unknown,unknown,,,unknown,unknown,unknown
87,Dundha Fort,Dunda,Nashik,Dindori,20.2811,73.8015,Dundha,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,Small fort with a few cisterns and minimal fortifications,Easy,1.5,Winter,Unknown,Unknown,FALSE,A simple trek near Nashik.,Unknown,unknown,,,unknown,unknown,unknown
88,Durg Dhakoba,[NO_ALT_NAME],Pune,Khed,19.1667,73.6833,Ambavali,Giri Durg (Hill Fort),1175,Pinnacle,Maratha Empire,Unknown,Unknown,"Twin peak to Dhakoba, guarded the ancient trade routes",Hard,4,Winter,Seasonal,Caves,FALSE,A challenging trek often combined with Dhakoba.,Unknown,unknown,,,unknown,unknown,unknown
89,Durgadi Fort,[NO_ALT_NAME],Thane,Kalyan,19.2435,73.1256,Kalyan,Bhuikot (Land Fort),12,Well-Preserved,Maratha Empire,Shivaji Maharaj,1657,Site of the first Maratha navy dockyard,Easy,0.2,All Seasons,Not applicable,Unknown,FALSE,A small fort on the banks of Ulhas river; has a popular Durga temple.,1657,1657,,1657,17th Century,unknown,unknown
90,Fattegad,[NO_ALT_NAME],Ahilyanagar,Shrigonda,18.675,74.75,Fattegadwadi,Giri Durg (Hill Fort),650,In Ruins,Mughal Empire,Aurangzeb,17th Century,Small watchtower fort,Easy,1,Winter,Unknown,Unknown,FALSE,Lesser known fort  mostly ruins remain.,17th Century,17th century,,,17th Century,unknown,unknown
91,Gagangad,[NO_ALT_NAME],Kolhapur,Gaganbawada,16.5333,73.8333,Gagangad,Giri Durg (Hill Fort),930,Partially Ruined,Maratha Empire; Kolhapur State,Unknown,15th Century,Famous for the Gagangiri Maharaj Math,Easy,0.5,All Seasons,Available,Ashram,FALSE,Accessible by road; primarily a pilgrimage site now.,15th Century,15th century,,,15th Century,unknown,unknown
92,Galna Fort,[NO_ALT_NAME],Nashik,Malegaon,20.7303,74.4983,Galna,Giri Durg (Hill Fort),734,Partially Ruined,Rathod Rajputs,Rajput Chieftains,14th Century,Controlled the Surat-Burhanpur trade route,Easy,1,Winter,Unknown,Unknown,FALSE,A historical fort with a mix of Hindu and Islamic architecture.,14th Century,14th century,,,14th Century,unknown,unknown
93,Gambhirgad,[NO_ALT_NAME],Palghar,Dahanu,20.0678,73.1165,Patilpada,Giri Durg (Hill Fort),670,In Ruins,Maratha Empire,Unknown,17th Century,Guarded the northern Konkan region,Medium,2.5,Winter,Seasonal,Caves,FALSE,Known for its dense forest trek and panoramic views.,17th Century,17th century,,,17th Century,unknown,unknown
94,Gandharvagad,[NO_ALT_NAME],Kolhapur,Chandgad,15.9186,74.1953,Gandharvagad,Giri Durg (Hill Fort),750,In Ruins,Maratha Empire,Unknown,Unknown,Small fort known for its caves,Easy,1,Winter,Seasonal,Caves,FALSE,A remote fort with scenic surroundings.,Unknown,unknown,,,unknown,unknown,unknown
95,Gawilgad,Gawilghur,Amravati,Chikhaldara,21.3653,77.3375,Chikhaldara,Giri Durg (Hill Fort),1103,Partially Ruined,Gavali (Cowherd Kings); Bahmani Sultanate,Ahmad Shah Wali,1425,Major stronghold in Berar; captured by British under Arthur Wellesley in 1803,Medium,2,Winter,Seasonal,Unknown,TRUE,Located in Melghat Tiger Reserve; known for its intricate carvings and massive walls.,1425,1425,,1425,15th Century,unknown,unknown
96,Ghangad,[NO_ALT_NAME],Pune,Mulshi,18.5772,73.3444,Ekole,Giri Durg (Hill Fort),914,Partially Ruined,Maratha Empire,Unknown,Unknown,Watchtower fort near Tamhini Ghat,Easy,2,Winter,Seasonal,Caves,FALSE,Recently restored with ladders for the final climb.,Unknown,unknown,,,unknown,unknown,unknown
97,Gharapuri,Elephanta Island,Raigad,Uran,18.9633,72.9317,Gharapuri,Jal Durg (Sea Fort),173,Partially Ruined,Maurya Dynasty,Unknown,2nd Century BCE,Site of Elephanta Caves; had two cannons on top,Easy,1,All Seasons,Available,Unknown,TRUE,The fort structure is minimal  known primarily for the UNESCO World Heritage caves.,2nd Century BCE,2nd century bce,,,unknown,2nd Century BCE,unknown
98,Ghargad,Gadgada,Nashik,Trimbakeshwar,19.7825,73.5786,Ghoti,Giri Durg (Hill Fort),853,In Ruins,Maratha Empire,Unknown,Unknown,A small fort known for its thrilling rock patch,Hard,2,Winter,Unknown,Unknown,FALSE,Trek involves a narrow chimney-style rock climb.,Unknown,unknown,,,unknown,unknown,unknown
99,Ghodbunder Fort,[NO_ALT_NAME],Thane,Thane,19.2892,72.8897,Ghodbunder,Bhuikot (Land Fort),25,Partially Ruined,Portuguese,Portuguese,1550,Controlled trade on Ulhas river; has a church within,Easy,0.2,All Seasons,Unknown,Unknown,TRUE,The fort is now used for government training purposes.,1550,1550,,1550,16th Century,unknown,unknown
100,Ghosalgad,[NO_ALT_NAME],Raigad,Roha,18.3584,73.1788,Ghosale,Giri Durg (Hill Fort),366,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,Paired with Talgad to guard the Mandad river creek,Easy,1.5,Monsoon; Winter,Year-round,Caves; Temple,FALSE,Offers great views of the surrounding valleys and forts like Kuda Caves.,17th Century,17th century,,,17th Century,unknown,unknown
101,Ghotavade Fort,[NO_ALT_NAME],Pune,Mulshi,18.5412,73.6815,Ghotavade,Giri Durg (Hill Fort),700,Completely Ruined,Maratha Empire,Unknown,Unknown,A small hillock fort,Easy,0.5,Winter,Unknown,Unknown,FALSE,Almost no structure remains just a small hill.,Unknown,unknown,,,unknown,unknown,unknown
102,Goa Fort (Harnai),Kanakdurg,Ratnagiri,Dapoli,17.8167,73.0833,Harnai,Jal Durg (Sea Fort),15,Well-Preserved,Maratha Empire,Shivaji Maharaj,1660,Land-based fort connected to the sea fort Suvarnadurg,Easy,0.2,Winter,Unknown,Unknown,FALSE,This is one of the three land forts protecting Suvarnadurg.,1660,1660,,1660,17th Century,unknown,unknown
103,Gojagad,[NO_ALT_NAME],Ahilyanagar,Sangamner,19.4583,74.15,Gojagadwadi,Giri Durg (Hill Fort),850,In Ruins,Maratha Empire,Unknown,Unknown,Small watchtower fort,Easy,1,Winter,Unknown,Unknown,FALSE,A simple and short trek with ruins of a gateway.,Unknown,unknown,,,unknown,unknown,unknown
104,Gopalgad,Anjanvel Fort,Ratnagiri,Guhagar,17.1517,73.1519,Anjanvel,Jal Durg (Sea Fort),30,Well-Preserved,Bijapur Sultanate; Maratha Empire,Shivaji Maharaj (rebuilt),1660,Guarded the Dabhol creek; renamed Gopalgad by Shivaji Maharaj,Easy,0.5,Winter,Unknown,Unknown,TRUE,This is a duplicate entry for Anjanvel Fort .,1660,1660,,1660,17th Century,unknown,unknown
105,Gorakhgad,[NO_ALT_NAME],Thane,Murbad,19.1607,73.5414,Dehri,Giri Durg (Hill Fort),653,Caves,Yadava Dynasty,Unknown,12th Century,Pilgrimage site with a challenging rock pinnacle,Medium,2.5,Winter,Year-round,Caves; Temple,FALSE,Famous for its rock-cut steps and a large cave that can accommodate many trekkers.,12th Century,12th century,,,12th Century,unknown,unknown
106,Gorakhgad (Manmad),[NO_ALT_NAME],Nashik,Manmad,20.2525,74.4511,Ankai,Giri Durg (Hill Fort),850,In Ruins,Yadava Dynasty,Unknown,Unknown,A hillock near Ankai-Tankai with some fortifications,Easy,1,Winter,Unknown,Unknown,FALSE,"This is a smaller fort near Ankai, different from Gorakhgad near Murbad.",Unknown,unknown,,,unknown,unknown,unknown
107,Gowalkot Fort,Govindgad,Ratnagiri,Chiplun,17.5333,73.4833,Chiplun,Giri Durg (Hill Fort),50,Partially Ruined,Maratha Empire,Shivaji Maharaj,1670,Guarded the Vashishti river and the port of Chiplun,Easy,0.5,Winter,Unknown,Unknown,FALSE,Overlooks the town of Chiplun and the river.,1670,1670,,1670,17th Century,unknown,unknown
108,Gunvantgad,[NO_ALT_NAME],Satara,Patan,17.4431,73.7892,Gunavant,Giri Durg (Hill Fort),975,In Ruins,Maratha Empire,Shivaji Maharaj,17th Century,Guarded the route to Mahabaleshwar,Easy,1,Winter,Seasonal,Temple,FALSE,A straightforward trek with a temple at the top.,17th Century,17th century,,,17th Century,unknown,unknown
109,Hadsar Fort,Parvatgad,Pune,Junnar,19.2618,73.8055,Hadsar,Giri Durg (Hill Fort),1123,Partially Ruined,Satavahana Dynasty,Satavahanas,3rd Century,Known for its uniquely carved entrance tunnel and rock-cut steps,Medium,2,Winter,Year-round,Caves; Temple,FALSE,One of the five forts around Junnar.,3rd Century,3rd century,,,3rd Century,unknown,unknown
110,Hanumantgad,[NO_ALT_NAME],Kolhapur,Bhudargad,16.2083,74.0083,Kondoshi,Giri Durg (Hill Fort),990,In Ruins,Maratha Empire,Unknown,Unknown,Small fort in the Bhudargad range,Easy,1,Post-Monsoon,Unknown,Unknown,FALSE,A scenic trek through dense forest.,Unknown,unknown,,,unknown,unknown,unknown
111,Hanumantgad (Junnar),[NO_ALT_NAME],Pune,Junnar,19.3333,73.7333,Khamgaon,Giri Durg (Hill Fort),1188,Partially Ruined,Yadava Dynasty,Unknown,13th Century,Twin fort to Nimgiri; has several rock-cut cisterns,Medium,2,Winter,Year-round in cisterns,Caves,FALSE,This is the Hanumantgad that is a twin to Nimgiri Fort.,13th Century,13th century,,,13th Century,unknown,unknown
112,Hanumantgad (Sindhudurg),[NO_ALT_NAME],Sindhudurg,Dodamarg,15.8236,74.0012,Fukeri,Giri Durg (Hill Fort),350,In Ruins,Maratha Empire,Unknown,Unknown,A forest fort on the Goa-Maharashtra border,Medium,2.5,Winter,Seasonal,Unknown,FALSE,This is a different fort from the one in Kolhapur district.,Unknown,unknown,,,unknown,unknown,unknown
113,Hargad,[NO_ALT_NAME],Nashik,Baglan,20.7845,74.0721,Mulher,Giri Durg (Hill Fort),1280,In Ruins,Maratha Empire,Unknown,17th Century,Part of the Mulher-Mora-Hargad fort trio,Medium,2.5,Winter,Unknown,Caves,FALSE,A companion fort to Mulher often trekked together.,17th Century,17th century,,,17th Century,unknown,unknown
114,Harihar Fort,Harshagad,Nashik,Trimbakeshwar,19.8975,73.4731,Nirgudpada,Giri Durg (Hill Fort),1120,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,13th Century,Guarded the Gonda Ghat trade route,Medium,2.5,Winter,Seasonal,Caves; Small hut,FALSE,Famous for its iconic 80-degree inclined rock-cut steps.,13th Century,13th century,,,13th Century,unknown,unknown
115,Harishchandragad,[NO_ALT_NAME],Ahilyanagar,Akole,19.3908,73.7803,Pachnai; Khireshwar,Giri Durg (Hill Fort),1422,Partially Ruined,Kalachuri Dynasty,Unknown,6th Century,Features Konkan Kada; Kedareshwar Cave; Taramati Peak,Medium,4,Winter,Year-round,Caves; Temple,TRUE,A vast plateau fort; a paradise for trekkers and nature lovers.,6th Century,6th century,,,6th Century,unknown,unknown
116,Hatgad,[NO_ALT_NAME],Nashik,Surgana,20.5517,73.8111,Hatgad,Giri Durg (Hill Fort),1097,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,Guarded the route into Gujarat,Easy,1,Winter,Year-round,Caves,FALSE,Located near the Saputara hill station; accessible by well-laid steps.,17th Century,17th century,,,17th Century,unknown,unknown
117,Indragad,Indrai,Nashik,Chandwad,20.3069,74.2753,Indrawadi,Giri Durg (Hill Fort),1378,In Ruins,Yadava Dynasty,Unknown,12th Century,Features a large number of caves,Medium,2,Winter,Year-round in cisterns,Caves,FALSE,This is an alternate name for Indrai Fort .,12th Century,12th century,,,12th Century,unknown,unknown
118,Indrai Fort,Indragiri,Nashik,Chandwad,20.3069,74.2753,Indrawadi,Giri Durg (Hill Fort),1378,In Ruins,Yadava Dynasty,Unknown,12th Century,Features a large number of caves,Medium,2,Winter,Year-round in cisterns,Caves,FALSE,Known for its huge cave complex that can house hundreds of people.,12th Century,12th century,,,12th Century,unknown,unknown
119,Induri Fort,Talegaon Fort,Pune,Maval,18.7301,73.6558,Induri,Bhuikot (Land Fort),580,Partially Ruined,Maratha Empire,Sardar Khanderao Dabhade,1720-21,Built on the banks of the Indrayani river,Easy,0.2,Winter,Unknown,Unknown,FALSE,Known for the samadhi of Sarsenapati Khanderao Dabhade.,1720-21,1720-21,,1720,18th Century,unknown,unknown
120,Irshalgad,[NO_ALT_NAME],Raigad,Khalapur,18.91,73.2289,Irshalwadi,Giri Durg (Hill Fort),1128,Pinnacle,Maratha Empire,Unknown,Unknown,Sister fort to Prabalgad; used as a watchtower,Medium,2.5,Monsoon; Winter,Seasonal,Unknown,FALSE,A pinnacle fort with a small area on top; the final climb is tricky.,Unknown,unknown,,,unknown,unknown,unknown
121,Jaigad Fort,[NO_ALT_NAME],Ratnagiri,Ratnagiri,17.3,73.2167,Jaigad,Jal Durg (Sea Fort),40,Well-Preserved,Bijapur Sultanate,Bijapur rulers,16th Century,Guarded the Shastri river creek; has a lighthouse nearby,Easy,0.5,Winter,Unknown,Unknown,TRUE,A large coastal fort offering spectacular views of the sea and creek.,16th Century,16th century,,,16th Century,unknown,unknown
122,Jamgaon Fort,[NO_ALT_NAME],Ahilyanagar,Karjat,18.5721,75.0118,Jamgaon,Bhuikot (Land Fort),600,Well-Preserved,Maratha Empire,Mahadaji Scindia,18th Century,Known for its beautiful pillared mansion (wada),Easy,0.5,Winter,Unknown,Unknown,FALSE,The main attraction is the well-preserved wada inside the fort walls.,18th Century,18th century,,,18th Century,unknown,unknown
123,Janjala Fort,Vaishagad,Jalna,Bhokardan,20.3341,75.8423,Janjala,Giri Durg (Hill Fort),750,In Ruins,Yadava Dynasty,Unknown,12th Century,A large hill fort with extensive fortifications,Medium,2,Winter,Seasonal,Caves,FALSE,Known for its two levels of fortification and rock-hewn caves.,12th Century,12th century,,,12th Century,unknown,unknown
124,Janjira,Murud-Janjira,Raigad,Murud,18.3,72.9639,Rajpuri,Jal Durg (Sea Fort),12,Well-Preserved,Siddi Dynasty,Malik Ambar (Initial),17th Century,Remained unconquered by Marathas; Portuguese; and British,Easy,0.5,Winter,None on fort,Hotels in Murud,TRUE,This is the common name for Murud-Janjira Fort .,17th Century,17th century,,,17th Century,unknown,unknown
125,Jawalya,Javalagad,Nashik,Satana,20.5714,74.2012,Jawalya,Giri Durg (Hill Fort),1200,In Ruins,Maratha Empire,Unknown,Unknown,A small fort in the Satmala hill range,Medium,2,Winter,Unknown,Unknown,FALSE,A lesser-known fort offering views of the surrounding range.,Unknown,unknown,,,unknown,unknown,unknown
126,Jivdhan Fort,[NO_ALT_NAME],Pune,Junnar,19.2319,73.6667,Ghatghar,Giri Durg (Hill Fort),1145,Partially Ruined,Satavahana Dynasty,Satavahanas,1st Century BC,Guarded the Naneghat trade route; features Vanderlingi pinnacle,Hard,3,Winter,Seasonal,Caves,FALSE,Part of the 'Famous 5' treks of the Junnar region; involves a rock patch.,1st Century BC,1st century bc,,,unknown,1st Century BCE,unknown
127,Jungli Jaigad,[NO_ALT_NAME],Satara,Patan,17.4912,73.6931,Navja,Van Durg (Forest Fort),1000,In Ruins,Maratha Empire,Shivaji Maharaj,Unknown,A remote forest fort in the Koyna Wildlife Sanctuary,Hard,5,Winter,Seasonal,Unknown,FALSE,"A challenging jungle trek, different from the coastal Jaigad fort.",Unknown,unknown,,,unknown,unknown,unknown
128,Kailasgad,[NO_ALT_NAME],Pune,Mulshi,18.4521,73.4513,Vaduste,Giri Durg (Hill Fort),800,In Ruins,Maratha Empire,Unknown,Unknown,A small fort overlooking the backwaters of Mulshi dam,Easy,1.5,Winter,Unknown,Unknown,FALSE,A short trek ideal for beginners.,Unknown,unknown,,,unknown,unknown,unknown
129,Kakati Fort,[NO_ALT_NAME],Kolhapur,Kagal,16.5711,74.3015,Kakati,Bhuikot (Land Fort),600,In Ruins,Unknown,Unknown,Unknown,A small village fortification or 'gadi',Easy,0.2,Winter,Unknown,Unknown,FALSE,Very little remains of this small fort.,Unknown,unknown,,,unknown,unknown,unknown
130,Kala Killa,Dharavi Fort,Mumbai City,Sion,19.0436,72.8683,Dharavi,Bhuikot (Land Fort),15,Partially Ruined,British,British East India Company,1737,Local name for the Dharavi or Riwa fort,Easy,0.1,All Seasons,Unknown,Unknown,FALSE,This is an alternate name for Riwa Fort .,1737,1737,,1737,18th Century,unknown,unknown
131,Kaladgad,[NO_ALT_NAME],Raigad,Mangaon,18.2915,73.3421,Kaladgad,Giri Durg (Hill Fort),350,In Ruins,Maratha Empire,Unknown,Unknown,A small watchtower fort near Mangaon,Easy,1.5,Winter,Unknown,Unknown,FALSE,A simple trek with few remains of the fort.,Unknown,unknown,,,unknown,unknown,unknown
132,Kalanidhigad,Kalanandi Durg,Kolhapur,Chandgad,15.8653,74.156,Patne,Giri Durg (Hill Fort),975,Partially Ruined,Shilahara Dynasty,Bhoj II,12th Century,Guarded the Parpoli Ghat,Easy,1.5,Post-Monsoon,Seasonal,Temple,FALSE,A scenic fort with lush green surroundings in the monsoon.,12th Century,12th century,,,12th Century,unknown,unknown
133,Kalavantin Durg,[NO_ALT_NAME],Raigad,Panvel,18.9806,73.2208,Thakurwadi,Giri Durg (Hill Fort),686,Pinnacle,Bahmani Sultanate,Unknown,15th Century,Watchtower for Prabalgad fort,Hard,2.5,Winter,Unknown,Unknown,FALSE,Famous for its breathtaking zigzag rock-cut steps and steep drop.,15th Century,15th century,,,15th Century,unknown,unknown
134,Kaldurg,Kaldurg Fort,Palghar,Palghar,19.6631,72.9367,Waghobachi wadi,Giri Durg (Hill Fort),475,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort near Palghar,Easy,2,Winter,Unknown,Unknown,FALSE,This is a duplicate entry for Kaldurg Fort .,Unknown,unknown,,,unknown,unknown,unknown
135,Kaldurg Fort,[NO_ALT_NAME],Palghar,Palghar,19.6631,72.9367,Waghobachi wadi,Giri Durg (Hill Fort),475,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort near Palghar,Easy,2,Winter,Unknown,Unknown,FALSE,A rectangular-shaped fort with two distinct levels.,Unknown,unknown,,,unknown,unknown,unknown
136,Kalyangad,Nandgiri,Satara,Satara,17.7561,74.2341,Nandgiri,Giri Durg (Hill Fort),1082,Partially Ruined,Shilahara Dynasty,Bhoj II,12th Century,One of the 11 forts built by King Bhoj II of Panhala,Easy,1.5,Winter,Year-round,Temple; Caves,FALSE,Features a large cave with a temple of Lord Hanuman.,12th Century,12th century,,,12th Century,unknown,unknown
137,Kamalgad,[NO_ALT_NAME],Satara,Wai,17.895,73.785,Tupewadi,Giri Durg (Hill Fort),1375,In Ruins,Maratha Empire,Unknown,17th Century,Known for its unique natural rock structure with a hole,Medium,2,Winter,Seasonal,Unknown,FALSE,"A flat-topped fort, also called 'Navra-Navri' Dongar by locals.",17th Century,17th century,,,17th Century,unknown,unknown
138,Kamandurg,[NO_ALT_NAME],Palghar,Vasai,19.4314,72.9781,Devkuni,Giri Durg (Hill Fort),650,In Ruins,Maratha Empire,Unknown,Unknown,A difficult-to-access fort deep in the Tungareshwar Wildlife Sanctuary,Hard,4,Winter,Unknown,Unknown,FALSE,The trek is challenging due to dense forest and lack of a clear path.,Unknown,unknown,,,unknown,unknown,unknown
139,Kanakdurg,Goa Fort (Harnai),Ratnagiri,Dapoli,17.8167,73.0833,Harnai,Jal Durg (Sea Fort),15,Well-Preserved,Maratha Empire,Shivaji Maharaj,1660,Land-based fort connected to the sea fort Suvarnadurg,Easy,0.2,Winter,Unknown,Unknown,FALSE,This is a duplicate entry for Goa Fort (Harnai) .,1660,1660,,1660,17th Century,unknown,unknown
140,Kanchangad,[NO_ALT_NAME],Satara,Koregaon,17.7615,74.2113,Kanchangad,Giri Durg (Hill Fort),1050,In Ruins,Maratha Empire,Unknown,Unknown,A small hill fort with a bastion and a few cisterns,Easy,1,Winter,Unknown,Unknown,FALSE,Offers good views of Vardhangad and surrounding areas.,Unknown,unknown,,,unknown,unknown,unknown
141,Kandhar Fort,[NO_ALT_NAME],Nanded,Kandhar,18.8828,77.2025,Kandhar,Bhuikot (Land Fort),410,Partially Ruined,Rashtrakuta Dynasty,Krishna III,10th Century,A large land fort with a moat filled with water,Easy,1,Winter,Not applicable,Unknown,TRUE,Known for its massive gates and an imposing citadel.,10th Century,10th century,,,10th Century,unknown,unknown
142,Kanhergad,Kanhira,Nashik,Satana,20.4,74.15,Kanherwadi,Giri Durg (Hill Fort),1006,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort in the Satmala range,Medium,2,Winter,Unknown,Unknown,FALSE,A lesser-known trek offering good views.,Unknown,unknown,,,unknown,unknown,unknown
143,Kankrala Fort,[NO_ALT_NAME],Nashik,Malegaon,20.4861,74.6083,Kankrala,Giri Durg (Hill Fort),762,In Ruins,Maratha Empire,Unknown,Unknown,Part of the Galna hill range,Easy,1,Winter,Unknown,Unknown,FALSE,A small fort with remnants of walls and cisterns.,Unknown,unknown,,,unknown,unknown,unknown
144,Karha Fort,[NO_ALT_NAME],Ahilyanagar,Pathardi,19.0833,75.1667,Karhewadi,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,Small hill fort,Easy,1,Winter,Unknown,Unknown,FALSE,Mostly in ruins with a small temple at the top.,Unknown,unknown,,,unknown,unknown,unknown
145,Karmala Fort,[NO_ALT_NAME],Solapur,Karmala,18.4141,75.2012,Karmala,Bhuikot (Land Fort),560,Partially Ruined,Nizam Shahi,Rao Rambha Nimbalkar,17th Century,A land fort with a large well and a temple,Easy,0.5,Winter,Unknown,Unknown,FALSE,The fort is located inside Karmala town.,17th Century,17th century,,,17th Century,unknown,unknown
146,Karnala Fort,Funnel Hill,Raigad,Panvel,18.8864,73.1206,Aapte,Giri Durg (Hill Fort),439,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,13th Century,Known for its 125 ft high volcanic plug called Pandu's tower,Easy,2,Monsoon; Winter,Seasonal,Unknown,FALSE,Located within the Karnala Bird Sanctuary.,13th Century,13th century,,,13th Century,unknown,unknown
147,Katora Fort,[NO_ALT_NAME],Bhandara,Tumsar,21.5,79.75,Katora,Bhuikot (Land Fort),280,In Ruins,Gond Kingdom,Unknown,18th Century,Small fort near Ambagad,Easy,0.5,Winter,Unknown,Unknown,FALSE,A minor fortification now mostly earthen mounds remain.,18th Century,18th century,,,18th Century,unknown,unknown
148,Katra Fort,[NO_ALT_NAME],Gadchiroli,Sironcha,18.8351,79.9612,Sironcha,Bhuikot (Land Fort),120,In Ruins,Gond Kingdom,Gond Kings,Unknown,A small fort near the confluence of Godavari and Indravati rivers,Easy,0.5,Winter,Unknown,Unknown,FALSE,Located in a remote area now mostly in ruins.,Unknown,unknown,,,unknown,unknown,unknown
